"species","rab.all","rab.win.Omnivore","rab.win.Vegan","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"Alistipes putredinis",16.2084176239212,18.7748778245275,14.5093656704639,-2.7373393837073,6.85803530708812,-0.40357601720261,0.217617507910972,0.491849848596254,1,0.2,0.918840210596246
"Alistipes onderdonkii",15.4637377209436,15.1040723204624,17.2396309037884,2.13899898193559,2.55310267882814,0.810242922284488,0.218750930036074,0.269896144908308,1,0.399999999999999,1
"Alistipes communis",14.2617585733918,13.5406297310419,14.9968554614599,1.45080603486239,2.57448408264613,0.212725150395037,0.437500143526281,0.975819068993933,1,1,1
"Alistipes finegoldii",14.1637538865556,15.0408063390656,13.3001520918871,-1.73147987319828,4.66776330645824,-0.389493436880265,0.296875549929299,0.522412627215186,1,0.364062499999999,0.984366354622545
"Alistipes dispar",11.8820775033069,10.2088765014575,13.5217518363417,2.36244563984578,5.19776556133326,0.334241988535492,0.440414642995582,0.768872245101962,1,1,1
"Alistipes ihumii",9.29186094285975,8.38553263425282,10.0601020748853,-0.269467978140175,6.81725177036803,-0.0463145547759448,0.450777313270224,0.927318033962626,1,0.707031250000002,1
"Alistipes sp. i18-0019-D1",12.201461800563,11.5167421461872,12.8458851142129,1.32076307945254,4.75916403817955,0.286280632033779,0.442708464566388,0.761183664723751,1,1,1
"Alistipes sp. dk3624",7.35597495021868,9.3262043462363,6.12875184111379,-3.20897997362666,3.27894896872278,-0.640947557950658,0.155441882399723,0.302504925402383,1,0.14921875,0.91819864345704
"Alistipes senegalensis",12.2813603246781,13.2230219996478,11.905112361512,-1.32097752555209,1.87410431308019,-0.823926759429287,0.203126036487036,0.240410298309083,1,0.2,0.918840210596246
"Alistipes shahii",14.7894783059471,16.1591034179384,13.1276040753264,-3.04985365776423,1.48521770858299,-2.42094050852055,0.000365399848804012,0.0357581293448857,1,0,0
"uncultured Alistipes sp.",11.1984498664553,11.9289735303646,10.9813864253088,-0.948825498875478,4.33877352102003,-0.285963576781617,0.333333757183061,0.593890701263589,1,0.399999999999999,1
"Alistipes indistinctus",9.25799594011052,8.89256025053851,9.51858423263281,0.647282294954564,2.14049611223994,0.292523055958436,0.440414642995582,0.819510323295913,1,1,1
"Alistipes megaguti",9.63685495063946,12.0946996595497,9.07010981997837,-3.01328625253484,2.21038986519699,-1.34184630313623,0.000365399848804012,0.219032076105477,1,0,0
"uncultured Acetobacteroides sp.",3.12501272373216,6.1453974932239,2.71229480802919,-3.46897511521745,7.47142130064142,-0.444347360934858,0.290156010238937,0.614454727378299,1,0.3203125,0.968106990635795
"Bacteroides uniformis",16.8262229314092,18.7120780644511,16.1612039466312,-2.5435791912237,3.02909734801099,-0.421474104983574,0.333333757183061,0.745018408375619,1,0.399999999999999,1
"Bacteroides eggerthii",13.3305335340469,12.7511947223893,13.869187229228,1.1082103193752,5.10096694495476,0.237174895045013,0.338542074137571,0.72913175378316,1,0.707031250000002,1
"Bacteroides thetaiotaomicron",13.9527642823149,13.7179629990835,14.2057601554808,-1.45725725066278,2.94345431434512,-0.4963182519782,0.430051973081517,0.627253289336249,1,0.700000000000002,1
"Bacteroides xylanisolvens",15.1416562237907,15.1929664921109,15.0996706614194,-0.083678207890391,3.14296469000424,-0.0247308899774486,0.455958648521652,0.821593560128801,1,0.711718750000002,1
"Bacteroides fragilis",13.9504329792379,14.6782618383241,13.2624609560559,-1.42323363831515,3.46246155784563,-0.265032892120237,0.331606642538848,0.639659206525699,1,0.399999999999999,1
"Bacteroides caccae",13.5240761180191,14.3985050332288,12.6992159778789,2.5269702735772,4.90626107685651,0.498982097342156,0.4455959780921,0.652273600340273,1,1,1
"Bacteroides hominis",14.2019326156063,14.5474605200907,14.1763001486338,-0.547016878283459,3.58915165423257,-0.310068224296586,0.212436194453191,0.702723165282428,1,0.2,0.918840210596246
"Bacteroides ovatus",14.4651241121616,15.5299047202984,13.5482728116838,-1.96216532829868,3.79239717362725,-0.424637907562749,0.338542074137571,0.558302809029703,1,0.411718749999999,1
"Bacteroides stercoris",13.3764386132502,11.4436225812519,14.9532817484865,1.62524643758989,6.8348753882257,0.426458274847717,0.218750930036074,0.618444225948039,1,0.399999999999999,1
"Bacteroides sp. DH3716P",12.1045857646828,12.2793239333751,11.9469648483612,-0.858333386585295,5.22884281709337,-0.210790558159581,0.317708808579265,0.550680832246002,1,0.399999999999999,1
"Bacteroides sp. A1C1",11.5361995338752,12.7974120341534,10.3269659434434,-2.45696386874483,3.95647693850805,-0.2330158109865,0.4455959780921,0.992062275763708,1,0.700000000000002,1
"Bacteroides sp. HF-162",11.9858622597866,13.5661258099355,10.5839805091578,-1.91959768737811,4.57974178779373,-0.339591260303964,0.336787973446622,0.931210050806566,1,0.402343749999999,1
"Bacteroides sp. CACC 737",10.0552101213549,11.6886520657069,8.4474440850548,-0.40189977961681,5.83441924423519,-0.0721925087571211,0.450777313270224,0.701799655637022,1,0.695312500000002,1
"Bacteroides sp. KFT8",7.86472159727859,9.29384475489174,6.52509636972632,-1.53390757544477,4.87374294079615,-0.115888892817604,0.461139983838242,0.744802224497641,1,0.700000000000002,1
"Bacteroides sp. D2",6.88553665159784,7.24417490136109,6.59265035952976,-0.671564858439591,5.93847806364403,-0.154715365955467,0.419689303598504,0.907956384603085,1,0.700000000000002,1
"Bacteroides sp. CG01",5.98087599687628,6.6883624748857,4.5989878404171,-0.849059171536814,1.94029222389696,-0.363390819407036,0.333333757183061,0.936783004962598,1,0.399999999999999,1
"Bacteroides sp. M10",7.90736600528651,8.02373216941493,4.99749784255359,-2.98520849848347,6.40496228184079,-0.457282881120085,0.227980139005357,0.424704300566428,1,0.2,0.918840210596246
"Bacteroides sp. PHL 2737",4.53809806441967,-2.21985158690695,7.20959719513855,4.35352864536532,12.5910105687458,0.439147166688755,0.401041899485425,0.576198709169167,1,0.847656250000001,1
"Bacteroides sp. KG123",7.35004207599179,9.35120814490418,6.89706628815994,-2.48946488174794,10.7428970963339,-0.235510380134672,0.29166723654711,0.843415466853097,1,0.3390625,0.976091898828391
"Bacteroides humanifaecis",12.5595481428947,12.7112990378459,12.4820962461131,-0.234367835313161,3.74066041636543,-0.0519514091166856,0.437500143526281,0.888815195205063,1,0.700000000000002,1
"Bacteroides salyersiae",10.267710024777,12.080035864824,8.98732726393601,-1.05781487468997,2.24068128258963,-1.18851003367691,0.108810546268712,0.240160873748588,1,0.0999999999999998,0.917849456424015
"Bacteroides faecis",11.4414993520079,11.0956613916583,12.7637679680472,1.28313443382057,1.93529877812827,0.491608078298256,0.333333757183061,0.644060491280241,1,0.700000000000002,1
"Bacteroides nordii",9.25833995393722,9.8308561472468,8.69068374859582,-1.13092225653795,2.95262638601141,-0.337079353359707,0.326425311992643,0.621340261840381,1,0.409374999999999,1
"Bacteroides zhangwenhongii",10.7404376415627,10.9126442050297,9.53863263197241,-1.19648030878521,2.941575899948,-0.220061860824847,0.333333757183061,0.994788284922275,1,0.399999999999999,1
"Bacteroides pyogenes",8.8370081504424,9.4243106266566,8.57695096905328,-0.818879110601089,1.72115710195934,-0.516364975088156,0.218750930036074,0.498709483287956,1,0.2,0.918840210596246
"Bacteroides caecimuris",9.2366173053618,9.68748810046928,8.82345782759486,1.82816638188099,4.296737467008,0.383028204848986,0.455958648521652,0.585190809315564,1,1,1
"Bacteroides cellulosilyticus",10.0121174074313,12.0289878747421,9.29394017457957,-2.74829532831287,2.34896934181315,-0.595280846570812,0.333333757183061,0.488286810826617,1,0.399999999999999,1
"Bacteroides difficilis",9.3220558151824,10.0104031486956,8.68859971192993,-0.512037155319029,4.7777832948094,-0.088789525607617,0.4455959780921,0.793838659869473,1,0.700000000000002,1
"Bacteroides zoogleoformans",7.89369213160163,7.91105114145666,7.84414300801936,-0.0808457362125896,1.19069909302986,-0.0421415115268801,0.432291822583124,0.544722522014511,1,0.712500000000001,0.999356398809524
"Bacteroides intestinalis",8.42757795354736,8.51684589191714,8.28833879829828,0.010297184393627,1.3886124017721,0.0123842647828969,0.492227996666188,0.839003974472981,1,0.875781250000001,1
"Bacteroides helcogenes",7.68913243346638,7.88913508957911,7.49204806672308,-0.363956879933661,2.28100770668528,-0.167366344723585,0.440414642995582,0.711799207310469,1,0.700000000000002,1
"Bacteroides maternus",7.63499951857168,8.66146237460226,7.54440647054803,-1.06602430019419,0.566324191681804,-0.244280221021079,0.333333757183061,0.828553115313538,1,0.399999999999999,1
"Bacteroides finegoldii",7.7327012026752,8.17030273581484,7.35520113108144,-0.169281106730486,3.44267542330758,-0.0599867689067107,0.4455959780921,0.656243530615976,1,0.714062500000002,1
"Bacteroides faecium",6.50493252659204,7.06881554384277,6.09065664873617,0.370108296594244,4.50269059236941,0.0903820199930619,0.4455959780921,0.988594957053216,1,1,1
"Bacteroides luhongzhouii",6.59507665771242,7.07962029203343,5.74400251964892,-1.27428761483816,4.9504576271846,-0.357026574225383,0.213542630602218,0.599752349559043,1,0.2,0.918840210596246
"Prevotella heparinolytica",7.08233372462734,7.80047173069098,5.82282640143979,-1.83631248254186,1.03369666198339,-1.35642771669521,0.104169063671829,0.127126661427769,1,0.0999999999999998,0.917849456424015
"Bacteroides graminisolvens",5.7675363282821,6.30709351707241,4.90526331655283,-0.477824665159582,2.24329477257954,-0.493987392508469,0.265625679004813,0.548796363986084,1,0.27734375,0.949197243140312
"uncultured Bacteroides sp.",4.85578401249028,5.16332919592139,4.73354153677499,0.467232952543846,3.73444454012945,0.0649757301354462,0.440414642995582,0.561110915621688,1,0.990625,1
"Bacteroides sedimenti",6.07045991105492,6.65908218960295,5.60911874940678,-0.647582644893818,3.55237884876374,-0.167439969922242,0.331606642538848,0.809091409242975,1,0.465625,1
"Phocaeicola vulgatus",17.2157496977282,17.0792463413121,17.3802018898534,0.757312164187509,3.29885198574579,0.26276652572007,0.333333757183061,0.674968853562338,1,0.700000000000002,1
"Phocaeicola dorei",15.5145995926186,17.4153658577623,15.2486215716403,-2.15901610544434,3.55806513953973,-0.379934654877274,0.333333757183061,0.769742318771688,1,0.399999999999999,1
"Phocaeicola coprophilus",11.1715519444387,10.8609170892197,11.4480770265705,0.603551093098471,2.17305788161713,0.124384761437095,0.432291822583124,0.69223397394117,1,1,1
"Phocaeicola salanitronis",9.4588627146199,9.12110108309651,9.85800312925255,-0.66984235732737,2.1406260479614,-0.19970647676832,0.430051973081517,0.599247977795094,1,0.700000000000002,1
"Parabacteroides distasonis",14.5742354268154,14.4441786011798,14.6833913133592,0.295444070327354,3.87679841894459,0.0937362001124366,0.357513300310963,0.7461811480901,1,0.700000000000002,1
"Parabacteroides johnsonii",10.4357898370654,9.79519921833715,11.0728208192522,1.28246379265635,4.28556639842959,0.296089558761638,0.333333757183061,0.685254675490766,1,0.700000000000002,1
"Parabacteroides chongii",7.55988608786823,6.12744734501006,8.12175722205189,1.52942176977067,2.82825927701786,0.698444725629642,0.196892263794227,0.335320293729901,1,0.399999999999999,1
"Parabacteroides merdae",13.2058827881587,15.4573982768109,11.0026472358329,-0.763603582355994,7.94096836521468,-0.134879595909924,0.338542074137571,0.655603102602327,1,0.399999999999999,1
"Parabacteroides sp. ASD2025",9.21917394889125,10.6043327587466,9.18636792203772,-1.43394223850169,3.25140556687121,-0.50869738656313,0.218750930036074,0.428373024958176,1,0.2,0.918840210596246
"Parabacteroides sp. CT06",10.1700820055307,10.4662818345452,9.92362564579183,-0.559841782845894,2.64936081544297,-0.234889551779802,0.4455959780921,0.869681186762443,1,0.700000000000002,1
"Parabacteroides goldsteinii",8.96437157873665,8.76638575048484,9.06872337169041,0.318429826088712,1.11510925779643,0.207480689157982,0.336787973446622,0.956298054021993,1,0.702343750000002,1
"Parabacteroides absconsus",9.22653470463453,10.2532660312294,8.19502794813473,0.454833711615787,3.93981843677485,0.102600116224374,0.453125106902353,0.872294330239762,1,1,1
"Parabacteroides faecis",6.04995685481888,8.51534565547635,6.00560835028849,-2.51222161058199,1.63326274153735,-0.883953703421484,0.32812544059081,0.264730568464898,1,0.389062499999999,0.995595325559029
"Tannerella serpentiformis",5.58909810831287,6.35911987594067,3.92844796917591,-3.40713465595007,3.28078115746644,-0.968432882021184,0.00523319582318488,0.173004749526528,1,0.00625,0.0574151852830682
"Tannerella forsythia",4.51637344066595,6.6557422513343,4.43710334818372,-2.27770686300632,3.22268429277245,-0.701276078339633,0.233161456450763,0.27862539649018,1,0.2,0.918840210596246
