name	taxonomy_id	taxonomy_lvl	SRR8146968_num	SRR8146968_frac	SRR8146978_num	SRR8146978_frac	SRR8146982_num	SRR8146982_frac	SRR8146938_num	SRR8146938_frac	SRR8146935_num	SRR8146935_frac	SRR8146936_num	SRR8146936_frac
Alistipes putredinis	28117	S	2085714	0.12158	2327	0.00010	563622	0.03904	3362598	0.12582	869373	0.03876	14705	0.00069
Alistipes onderdonkii	328813	S	1290134	0.07520	641551	0.02669	490536	0.03398	70710	0.00265	114810	0.00512	42054	0.00197
Alistipes communis	2585118	S	281576	0.01641	34285	0.00143	145647	0.01009	630798	0.02360	23055	0.00103	8784	0.00041
Alistipes finegoldii	214856	S	288989	0.01685	10575	0.00044	22992	0.00159	67431	0.00252	1373634	0.06125	5432	0.00025
Alistipes dispar	2585119	S	98052	0.00572	38270	0.00159	24212	0.00168	393823	0.01474	2291	0.00010	827	0.00004
Alistipes ihumii	1470347	S	79993	0.00466	87	0.00000	25791	0.00179	97937	0.00366	653	0.00003	434	0.00002
Alistipes sp. i18-0019-D1	3132707	S	61378	0.00358	101701	0.00423	3382	0.00023	20816	0.00078	5667	0.00025	1656	0.00008
Alistipes sp. dk3624	2662363	S	295	0.00002	72	0.00000	7478	0.00052	1294	0.00005	114445	0.00510	294	0.00001
Alistipes senegalensis	1288121	S	54700	0.00319	1550	0.00006	92627	0.00642	71514	0.00268	6586	0.00029	40252	0.00189
Alistipes shahii	328814	S	50156	0.00292	17590	0.00073	216421	0.01499	146990	0.00550	618051	0.02756	199613	0.00936
uncultured Alistipes sp.	538949	S	16846	0.00098	2936	0.00012	13918	0.00096	349716	0.01309	7547	0.00034	849	0.00004
Alistipes indistinctus	626932	S	6108	0.00036	2341	0.00010	2821	0.00020	1835	0.00007	916	0.00004	904	0.00004
Alistipes megaguti	2364787	S	5497	0.00032	554	0.00002	12666	0.00088	422274	0.01580	8452	0.00038	4105	0.00019
uncultured Acetobacteroides sp.	1760811	S	109	0.00001	0	0.00000	157	0.00001	0	0.00000	610	0.00003	298	0.00001
Bacteroides uniformis	820	S	611528	0.03565	197627	0.00822	870829	0.06032	860870	0.03221	6578850	0.29333	14592	0.00068
Bacteroides eggerthii	28111	S	403204	0.02350	834	0.00003	361528	0.02504	90929	0.00340	13340	0.00059	819	0.00004
Bacteroides thetaiotaomicron	818	S	157583	0.00919	34771	0.00145	59653	0.00413	27002	0.00101	175619	0.00783	30186	0.00142
Bacteroides xylanisolvens	371601	S	292828	0.01707	242195	0.01008	96426	0.00668	75106	0.00281	349705	0.01559	56023	0.00263
Bacteroides fragilis	817	S	81906	0.00477	77474	0.00322	33933	0.00235	476460	0.01783	50845	0.00227	9942	0.00047
Bacteroides caccae	47678	S	55460	0.00323	213156	0.00887	133787	0.00927	43269	0.00162	68016	0.00303	3805	0.00018
Bacteroides hominis	2763023	S	157435	0.00918	19716	0.00082	36715	0.00254	48042	0.00180	93303	0.00416	9275	0.00043
Bacteroides ovatus	28116	S	61820	0.00360	46609	0.00194	289423	0.02005	94853	0.00355	1271835	0.05671	14035	0.00066
Bacteroides stercoris	46506	S	29437	0.00172	430132	0.01790	766835	0.05312	2299	0.00009	708553	0.03159	11721	0.00055
Bacteroides sp. DH3716P	2847299	S	32944	0.00192	43146	0.00180	1278	0.00009	4035	0.00015	145291	0.00648	20946	0.00098
Bacteroides sp. A1C1	2528203	S	10688	0.00062	16864	0.00070	30087	0.00208	14292	0.00053	206884	0.00922	152	0.00001
Bacteroides sp. HF-162	2785531	S	12776	0.00074	11682	0.00049	11065	0.00077	24321	0.00091	81828	0.00365	128	0.00001
