"species","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Fusobacterium ulcerans",1705.99154664685,0.308126010303157,1.0904722911275,2.17720428656092e-14,5.23025737690763e-12
"Fusobacterium nucleatum",540.81894951353,0.350801649343192,1.11235353536332,2.3773897167762e-14,5.23025737690763e-12
"Bacteroides sp. KG68",2545.86982684434,0.247922424475386,1.06483763036964,1.99137255626829e-12,2.92067974919348e-10
"Bifidobacterium fermentum",106.538681399427,0.343402331507091,1.10805159925871,3.85926773081633e-12,4.24519450389796e-10
"Fusobacterium sp. SB021",1351.53367436803,0.245738866699141,1.06401504228886,4.53645815727735e-11,3.35855302180291e-09
"Fusobacterium hominis",685.02391714544,0.243339550246072,1.06311526690683,5.13896233253306e-11,3.35855302180291e-09
"Fusobacterium vincentii",676.311371299393,0.243351714699672,1.06311947648132,5.34315253468645e-11,3.35855302180291e-09
"Ruminococcus sp. FMB-CY1",355.544843524034,0.241007043871787,1.06224024505764,2.40832388176449e-10,1.32457813497047e-08
"Fusobacterium animalis",300.219808945034,0.241032548251785,1.06224212545933,3.56141840033938e-10,1.74113788461037e-08
"Bacteroides phage B124-14",68.0674781825914,-0.221078781402513,1.05641893558634,6.54733957108437e-10,2.88082941127712e-08
"Bacteroides phage B40-8",62.848971521926,-0.221048939948786,1.05639623571923,7.81321051776278e-10,3.12528420710511e-08
"Enterococcus hirae",17.9952953837601,-0.219917180361793,1.0556149384452,1.13572259314819e-08,4.16431617487671e-07
"Clostridium sp. MB05",27.9527512560672,0.230979052811248,1.05820920012191,5.85341177106771e-08,1.93076340577161e-06
"Bacteroides sp. BFG-257",27.1793665638875,0.230529639790402,1.0580424610967,6.14333810927331e-08,1.93076340577161e-06
"Akkermansia sp. RCC_12PD",13.7625800158107,0.227196228216981,1.05642896892753,2.34061952714863e-07,6.86581727963599e-06
"Fusobacterium polymorphum",220.788762196965,11.066197402516,3.92415469114132,6.42956818012176e-06,0.000176813124953348
"Clostridium sp. C1",66.1231324536785,9.33141508994432,3.43716893573996,7.19448041905251e-06,0.0001862100814343
"Sutterella faecalis",575950.903224053,9.79748282185666,3.21884996869186,2.55300249196721e-05,0.000624067275814206
"Ruminococcus callidus",20401.7823018996,-5.45800451403802,1.67366208658414,3.05192042758544e-05,0.000706760520072417
"Bifidobacterium imperatoris",99.3995324197903,9.56969250018342,3.93025541664123,6.49573027363696e-05,0.00142906066020013
"Alistipes megaguti",100027.137953789,-4.59442927198234,2.29700098573139,0.00076891441999615,0.016067036643188
"Akkermansia sp. JRP_AM1",122.446200948399,0.46490244126974,1.18708820371642,0.000803351832159401,0.016067036643188
"Bacteroides sp. ZJ-18",63.0096861150209,-0.434397588093276,1.16590005802231,0.00106256330670367,0.0203272980412876
"Fusobacterium mortiferum",109595.262643292,0.260909153684376,1.06981641710304,0.00111409481279524,0.0204250715679128
"Enterococcus sp. 22-H-5-01",55.9979079271534,-0.424108317330118,1.1586113531522,0.00142663647241946,0.0251088019145825
"Megasphaera sp.",4338.39665492034,-0.791885386566781,1.55678122621491,0.00287515696935036,0.0484933821094118
"Fusobacterium varium",3305.97972997532,0.317245042860597,1.09455562186888,0.00297573026580482,0.0484933821094118
"Phascolarctobacterium faecium",47558.3549278748,-0.765304712723237,1.51411708834965,0.00311129905307002,0.0488918422625289
"Faecalibacterium sp. I4-1-79",143451.832145152,-2.92153400205851,1.91618097011411,0.00414218435634597,0.0628469350618009
"Ruminococcus bovis",624.556563596722,-2.76439959237103,1.73820626963915,0.00462374396054817,0.0678149114213731
"Bacteroides finegoldii",21685.5964035619,2.77051221244258,4.74016636693,0.00670053626234834,0.0951043856591377
"Streptococcus pantholopis",33.27325088661,0.441070642041962,1.16776531384705,0.00703783272651888,0.0967701999896346
"Fusobacterium canifelinum",44.4448045606329,0.36666859695983,1.12043891342033,0.00837373651237704,0.111649820165027
"Prevotella multiformis",3116.05115326752,-2.39583288067107,1.97149493219479,0.00881854090523884,0.114122294067797
"Alistipes shahii",223485.181349584,-2.02508665068021,1.26867838359488,0.00929131516304977,0.116805104906911
"Alistipes onderdonkii",430763.507975292,2.13453836655282,1.32067530182321,0.00991404464607756,0.121171656785392
"Alistipes sp. dk3624",20639.2779889881,-0.882544359307582,1.65492067351995,0.0113393028083713,0.13129719041272
"Clostridium argentinense",38.3251057472371,0.354115219499901,1.11323392333935,0.0111785452350353,0.13129719041272
"Acidaminococcus intestini",197115.361647848,-0.633715426091441,1.32754553837567,0.0140928354903722,0.158996092711892
"Adlercreutzia equolifaciens",1619.53427506566,1.43919768482028,2.80893418983065,0.0154546907418702,0.170001598160572
"Prevotella sp. E9-3",2315.76584829334,-1.87636076010328,1.95534340811694,0.0177706592685769,0.1907095141018
"Akkermansia sp. AE01SA01",14.0423204170882,-0.323800563382981,1.0977860265895,0.022164813241474,0.232202805386871
"Acidaminococcus timonensis",512.852059817229,1.34402879252818,2.28497290318377,0.0228837873977725,0.234159685000463
"Paraprevotella clara",132282.050424983,-0.765123913637858,1.44896846006424,0.0238986295326758,0.238986295326758
"Clostridium novyi",8.64669542951292,0.521858176183223,1.22211290198735,0.0276401453720457,0.270259199193336
"Dialister massiliensis",1865.31736304403,-1.39850062866044,1.98684791893263,0.0288828196798003,0.270979924916106
"Adlercreutzia hattorii",1823.47520594541,1.33212387837057,2.07261155312431,0.0289455828887659,0.270979924916106
"Erysipelatoclostridium sp. An173",14.4529351912569,0.351746124158441,1.11028682009479,0.0340097382189882,0.30539356768071
"Clostridium sp. DL-VIII",16.5439827222611,0.331720981279672,1.10019364049824,0.0337842151162149,0.30539356768071
"Bacteroides difficilis",17979.2640786785,1.02564062707582,1.73160919134226,0.0361993234399474,0.318554046271537
"Faecalibacterium sp. IP-3-29",60700.8143531793,-1.31728629778953,1.52472905826516,0.0425593255258472,0.360117369834091
"Ruminococcus bicirculans (ex Wegman et al. 2014)",8679.81611156372,-1.06779237894741,1.6643745859655,0.0420250405396698,0.360117369834091
"Streptococcus merionis",11.8990496420131,0.342430819506746,1.10485737848679,0.0438144040524416,0.363742222322157
"Ruminococcus champanellensis",3740.05202101379,1.09373589770574,1.63656716656161,0.0495519588671903,0.36936243738571
"Clostridium cochlearium",30.0323620161207,0.83219911163266,1.46966217051714,0.0483476514079438,0.36936243738571
"Clostridium culturomicium",42.5785188234321,0.699220844757618,1.35320620540194,0.0456634626136937,0.36936243738571
"Dorea longicatena",5858.52606588207,1.31697622193616,1.13224565606355,0.0511786291898311,0.36936243738571
"Streptococcus thermophilus",215.737416751426,1.34170912177359,1.50672508839892,0.0466558047043455,0.36936243738571
"Bifidobacterium asteroides",10.8682976974943,0.327651038807925,1.09717944234676,0.0520465252679864,0.36936243738571
"Phocaeicola coprocola",23505.6161363492,0.264614401040714,1.06958270409147,0.05188321110817,0.36936243738571
"Clostridium sp. MB40-C1",13.4493123786484,0.299917877468697,1.08468809105466,0.0508393280354429,0.36936243738571
"Clostridium sp. 001",12.8792967347055,0.314841009818922,1.0914428316114,0.0480394196031755,0.36936243738571
"Prevotella intermedia",5105.11786387421,-1.27085200719354,1.2902813129595,0.0531110641704525,0.370934416428557
"Faecalibacterium sp. I3-3-33",40785.0034995117,-1.13832107429052,1.37917363991883,0.0605140039846069,0.400527252945289
"Faecalibacterium hominis (ex Afrizal et al. 2022)",23169.0498032092,-1.1890284601379,1.27628132873772,0.061899666364272,0.400527252945289
"Blautia hydrogenotrophica",2982.85872168407,1.24773165080214,1.12366229152236,0.0603486038173388,0.400527252945289
"Lactobacillus iners",10.4111112640725,0.306640852778356,1.0871719886113,0.0611611743697992,0.400527252945289
"Escherichia ruysiae",11.871612117687,-0.219131149548348,1.0550775994398,0.0599212638444695,0.400527252945289
"Eubacterium sp. MSJ-33",3345.52698878214,-0.9687779898861,1.43850983244989,0.0669770955758344,0.407974987359985
"Lachnospira eligens",19627.1779781281,1.06024514992474,1.48730373898853,0.067686759266543,0.407974987359985
"Coprococcus eutactus",12142.0201341144,0.941586174082633,1.48451641564764,0.0662238427473155,0.407974987359985
"Dialister succinatiphilus",1851.2020727287,-0.867818110339202,1.42611215772115,0.0640612815619695,0.407974987359985
"Gordonibacter urolithinfaciens",1437.43416189371,-1.05339670102783,1.41965363323492,0.0675449624342775,0.407974987359985
"Phascolarctobacterium succinatutens",475480.803827089,0.41567232689011,1.13842386646697,0.0707972570156021,0.415343907824866
"Enorma phocaeensis",594.136020667676,1.13624926829674,1.35597150466139,0.0701595760901295,0.415343907824866
"Acidaminococcus fermentans",2084.21672106753,0.681881548705187,1.3037416155377,0.0733159915268688,0.424461003576609
"Porphyromonas somerae",120.289597406536,-1.01289312140354,1.38584419896237,0.0742952457682579,0.424544261532902
"Sutterella wadsworthensis",518144.719858714,-0.593780011540321,1.23446858116713,0.0754737002968689,0.425749078597722
"Prevotella corporis",3187.7810786025,-1.04259131383734,1.3082289245952,0.0780272308614778,0.429149769738128
"Ruminococcus sp. JL13D9",858.683089464003,-1.08861512916255,1.22661049909866,0.0778288736726763,0.429149769738128
"Phocaeicola coprophilus",72348.5855035445,-0.738298174966723,1.28809976782284,0.0824009580862846,0.446160422953966
"Clostridium fermenticellae",8.5268152689776,0.28265221549339,1.076286779622,0.0831480788232391,0.446160422953966
"Bacteroides uniformis",1518389.6500119,-0.868674367886307,1.32288354277179,0.0874948224523476,0.462844764946953
"Segatella hominis",536939.414261219,-0.535908812877166,1.19161168280666,0.0883612733080546,0.462844764946953
"Streptococcus halichoeri",12.3427732818998,0.226468099788725,1.05606129068887,0.0899395936775085,0.465569661389456
"Sutterella megalosphaeroides",3756.25139895303,0.453359122392787,1.15132097138181,0.0923253149077492,0.472362076272205
"Alistipes finegoldii",284612.233129122,-0.700618557685833,1.23947847092848,0.101175475663413,0.500193362830354
"Blautia producta",716.705626434627,0.980850349032048,0.878899869399376,0.100753621746788,0.500193362830354
"Megasphaera elsdenii",1001.56663566326,-0.913725708560251,1.24882384118013,0.10073031327136,0.500193362830354
"Alistipes sp. i18-0019-D1",48848.0642473832,0.810830037181847,1.29135773131483,0.109426116195438,0.506449585365637
"Bacteroides ovatus",286908.873694567,-0.781562537795837,1.19839647555814,0.109394781497473,0.506449585365637
